"uuid","age","country","gender","playcount","age_scrobbles","user_type","registered","firstscrobble","lastscrobble"
"3178b435-d52c-4c15-b8a2-d38f51512c97",31,"FR","m",22387,2158,"user",1185821346,1185817905,1364929652
"fe666e09-d748-4883-831c-7d20b6a37c82",34,"UK","m",33186,1486,"user",1234614632,1362579587,1234713270
"8f2b6926-271e-44e6-a29a-b539c4373e5f",20,"DE","m",19141,1121,"user",1272975976,1272982546,1369003583
"6f34819d-f70b-457f-a139-5d87ff2b3fdb",22,"BR","f",132547,1331,"user",1259369676,1259790864,1374099258
"3cd21ad1-1fa1-4ea9-b3d7-d509ca9bd4e4",31,"UK","f",31354,1896,"user",1186869408,1186865926,1354214846
"6becca84-1a27-4ec6-8c78-441108ca40dc",21,"BR","m",101772,2190,"user",1174859205,1174880371,1353773062
"0d9d8cf6-c866-4310-9c9d-baf3e5f7f961",19,"BY","m",20765,884,"user",1281179342,1293580510,1357570659
"c64e7efe-6a1b-4286-b8e7-54be0b807f40",29,"US","f",10822,1138,"user",1269989544,1270006743,1358020944
"6803151f-1be5-4c61-a788-29d613d95b30",22,"PL","m",51624,1936,"user",1188662097,1188659495,1353521076
"6464797a-f413-49b9-ab90-df89752b11b0",20,"RS","m",26189,1131,"user",1272111146,1296899454,1369168688
"05e751dd-5f72-49fc-a378-2d60ba8b1c8b",22,"US","m",80982,991,"user",1294350289,1294393452,1379980597
"79905afb-32ac-4cbf-94a1-6d7f71642d51",23,"US","f",25068,2051,"user",1183652030,1187420505,1360874822
"a9976446-fffc-42b6-9c04-78ec811a7135",35,"US","f",85569,2728,"user",1124036668,1124037721,1356118876
"71d5dfb6-1ffb-4d08-847f-59a39a398219",24,"BR","f",29616,1082,"user",1265090100,1358553853,1265091621
"f0098eff-521c-418c-99ed-41e331cb9ebc",28,"BR","m",15497,1071,"user",1262385739,1354908515,1262386582
"2e012784-528f-4550-b789-a9961ec7a716",24,"FI","m",56260,2561,"user",1149760584,1149760524,1370698320
"9b09e5c7-4641-4f8e-9ddd-97c126ec4218",21,"BE","m",17304,985,"user",1293559084,1378579561,1293559359
"78167926-9bc2-43b6-9131-2c71e2a46e2a",30,"PL","m",36180,1120,"user",1259591725,1259593965,1356301191
"4b7da907-faaf-45d0-a5ab-d7d648821d96",21,"BR","m",71916,3247,"user",1097368004,1176613109,1377899281
"23cee719-b772-46bf-a048-a8f4399574ad",28,"US","f",96868,2137,"user",1193427267,1202012495,1378057209
"4e32353e-eca7-407d-8e5f-4d95ac835c70",40,"DE","f",54321,1802,"user",1211440139,1211525002,1367174405
"38456f4b-cf49-4b47-bbb6-193581fd9665",38,"BR","m",52007,1540,"subscrib",1233946065,1233952199,1367036013
"3a701d8c-4a3c-46b4-996b-c3df677a2c8d",43,"PT","m",15830,1205,"user",1265652181,1265652447,1369761803
"75e1abbb-8191-4b39-b48c-84c45586bdc2",21,"NL","m",55758,775,"user",1312451858,1312452777,1379440633
"dfcbbf2e-edc1-4aba-853a-b14fd827619f",22,"SY","m",28891,1700,"user",1215100963,1215436912,1362027857
"140117c2-f249-4f9f-823c-73f88a854fe1",16,"EC","f",11683,806,"user",1309171274,1309171489,1378752949
"ecf021fd-30ba-47dc-be8e-9dbb36de3d51",25,"DE","m",35712,2787,"user",1133897596,1133906220,1374407946
"a54aa4c6-44cf-4516-8446-f03750c76642",22,"US","m",33969,1275,"user",1255503658,1257191016,1365699931
"397a85c8-19f5-42d9-929d-8e7b5e5f7a7d",22,"US","f",15545,1251,"user",1263443355,1347840681,1263443216
"d25fa385-ab0c-4899-a3fe-6296855e4526",19,"BR","m",41933,1086,"user",1273378688,1278301436,1367209048
"fc02d064-da7e-4d9b-9576-03302eb8a486",27,"BE","m",54890,1724,"user",1201781941,1201783701,1354358888
"65b1dd60-ea6c-401a-b337-8ffdc3b2c305",18,"NO","m",40379,1152,"user",1267913908,1270838627,1367429732
"61920c38-52ee-4005-9cb6-6d311fea4fc2",21,"US","m",81685,1767,"user",1202922364,1202933787,1355623918
"4c82ed29-4e7a-4503-b0a1-8a3272d8d974",25,"FI","m",117002,2530,"user",1144262224,1144263968,1362844122
"dd96b2d1-e074-49b4-93db-14dc6ed9e4f4",26,"DE","m",44843,1159,"user",1271245855,1271246345,1371403047
"4c550c21-6f69-4ed2-9d0a-6628505c826c",18,"PL","m",96177,1182,"user",1269802706,1269803181,1371945896
"8911e9f9-45b0-4dda-ba84-2ab137bd7214",24,"AU","f",12110,962,"user",1296817485,1298773078,1363682824
"08a3bfde-bab0-46f7-ab8a-27c0a87cdbae",25,"RU","m",68388,1549,"user",1223445270,1223642905,1356520134
"c51a0bab-dc21-4a68-a81a-fa078bc66ef8",24,"GR","m",35328,2728,"user",1140527439,1140528721,1375701403
"05751dfe-a07d-439c-93ec-d7e8d3912884",19,"IT","f",35004,1344,"user",1258925833,1259278730,1375027296
"dbc6b5ae-a28a-445a-8c2f-38f02eb487cf",61,"NL","m",156318,2433,"user",1160088903,1160132581,1370171359
"d5f72192-a00d-428e-897e-7c09a14b98ff",20,"RU","m",106877,1198,"user",1276196261,1276198578,1375432513
"2b8be1ad-2819-4fcc-a98a-67e5742c63fd",17,"BR","f",13457,1414,"user",1242686965,1242687577,1364664428
"2cad72a7-66ca-4893-913d-29434f55d1fa",21,"US","f",30462,2649,"user",1129600855,1129605215,1357601927
"4f4908f7-ee97-4dc4-bde6-e1d164fee540",24,"CA","f",42310,2484,"user",1154733862,1154735244,1368859943
"1ae80c09-ac8d-4a42-813a-84083671ec57",22,"ES","n",136056,2496,"user",1155701795,1155734811,1369137386
"efcff21b-5b83-4b0f-9082-2ace277db796",29,"AR","m",62446,2897,"user",1127476530,1127755360,1377217125
"4bbafe9a-42d8-485f-b33e-0d733c404813",24,"PL","f",121272,1573,"user",1235411200,1371201360,1254673238
"ea6b85ec-7bba-4eea-b161-79b9eb7e58fe",19,"BY","m",46134,1716,"user",1217785898,1220095405,1366053085
"b7b457d5-757a-4e83-bb29-25aa77fb1350",21,"RU","m",19035,1170,"user",1260617499,1260617862,1360598241
"f5ccff74-0d70-4e62-85a2-c5cfce3ff6ca",36,"CA","m",66193,2530,"user",1156361905,1188371847,1374941211
"2e8fbe59-5a0e-4e15-96a2-8412b8d7b95c",19,"PL","m",20126,941,"user",1298316225,1298317090,1379525290
"7664660a-861e-4b09-a1a5-6865905497a5",22,"PL","f",37826,2097,"user",1175447633,1175444607,1356008350
"66b9b31c-dd3b-448c-bfcf-0884d39eed55",21,"FI","m",59622,1477,"user",1231090841,1309259908,1358772889
"12aea695-448e-41c7-bbb6-5ebde491b881",20,"BR","m",131675,1931,"user",1183871647,1183868217,1353382800
"e64333f1-99fd-43fe-8d60-6332352be080",23,"BR","m",49970,1861,"user",1197504105,1197522426,1358305306
"7cdcd4ea-b96a-4789-9c01-83613fb82f08",47,"RU","f",153309,1555,"user",1244458739,1251464172,1378868804
"d8e096d0-8216-492a-bc2b-5b09bcef4e4c",24,"BG","m",55146,1976,"user",1202505353,1202507021,1368828641
"c69a2492-b5e7-42a6-ad4f-22fddd9f0e74",24,"US","m",19367,1788,"user",1224182128,1224183367,1378510363
"2e488d39-aa84-41e0-88f2-8c065f575f38",36,"UK","n",42075,3387,"user",1085669897,1108411347,1378217426
"881ed076-1527-45cc-bdba-9d22229185a3",20,"HU","f",31447,1782,"user",1215989107,1216009307,1369783969
"2832fa29-1c08-4a1a-ab7e-755784b09029",26,"US","f",45439,2468,"user",1164631373,1164632013,1377908428
"37399026-d3ee-4fa6-8830-1c9845bf308f",27,"US","n",14573,1293,"user",1267682757,1351539646,1379403091
"703cc3ab-39cf-45ac-9b46-5cdea8fb34ed",22,"BR","m",24530,1034,"user",1290991889,1290992972,1365383412
"296cf344-2169-4616-9ede-63e2cb8a5aeb",21,"PL","m",68238,952,"user",1268468108,1268468354,1353250624
"f4d47b04-ec40-4a34-b74b-20ec8f6da1d2",22,"US","m",103341,1814,"user",1217692247,1217697463,1374330223
"18043a85-df74-43d3-8bd5-78953a7519eb",21,"DE","m",17960,1700,"user",1232905936,1232906228,1379804169
"939f06a8-e945-4d36-89db-b6dbd0ee43dc",23,"US","f",24375,1315,"user",1257654798,1369022656,1258996089
"6fcf16c5-9cd9-47d7-b053-b858ee26c702",30,"ID","m",47072,2497,"user",1140162168,1218306200,1355841825
